text_id,total_lines,yuri_lines,yuri_concentration
60_3450,1023,29,0.028
82_4694,2040,7,0.003
82_4704,2280,0,0.0
82_4714,1637,0,0.0
82_4724,1593,0,0.0
82_19479,1805,0,0.0
82_36615,2534,0,0.0
124_6298,335,109,0.325
124_19644,134,19,0.142
124_19645,6,2,0.333
143_6832,1246,25,0.02
149_7019,1021,8,0.008
149_7020,780,17,0.022
149_7021,1214,50,0.041
149_7022,1003,22,0.022
149_12765,801,8,0.01
149_13629,1101,0,0.0
149_20210,1123,0,0.0
149_26295,1069,0,0.0
149_30340,950,9,0.009
149_30348,717,0,0.0
149_35193,1116,15,0.013
203_8499,1637,19,0.012
203_19475,1665,27,0.016
208_8558,1567,152,0.097
208_8564,1751,128,0.073
208_8571,1441,36,0.025
208_8577,818,38,0.046
251_9594,1986,7,0.004
251_12161,1349,28,0.021
251_12205,1130,5,0.004
251_16453,1522,17,0.011
255_9641,974,150,0.154
255_9660,1340,78,0.058
255_9668,1539,233,0.151
255_9671,1353,84,0.062
255_9675,921,24,0.026
255_9682,788,7,0.009
255_9687,1483,125,0.084
255_9691,959,78,0.081
255_9697,1126,193,0.171
255_9698,1088,42,0.039
255_9707,894,7,0.008
255_17548,957,29,0.03
255_19141,1113,149,0.134
255_19142,999,114,0.114
255_20343,1137,51,0.045
255_25495,1055,14,0.013
255_25499,666,15,0.023
255_25950,872,31,0.036
255_28845,937,49,0.052
255_29646,1067,151,0.142
255_30182,926,35,0.038
255_33415,1016,64,0.063
255_33423,944,25,0.026
255_35187,652,53,0.081
255_37585,664,62,0.093
255_39740,841,36,0.043
255_44280,732,32,0.044
255_46532,620,12,0.019
255_48951,859,59,0.069
255_50050,767,30,0.039
255_63937,776,19,0.024
255_63938,751,19,0.025
255_134554,1125,73,0.065
298_10595,556,15,0.027
298_10601,589,7,0.012
298_17775,972,60,0.062
298_20499,784,40,0.051
301_10869,641,6,0.009
301_10871,527,12,0.023
301_10884,391,0,0.0
301_17145,599,0,0.0
301_18174,1372,0,0.0
301_29966,971,0,0.0
343_12044,1028,8,0.008
343_17953,939,0,0.0
343_17955,905,0,0.0
349_12158,1417,137,0.097
391_14748,1804,99,0.055
391_14750,1489,109,0.073
401_14946,1139,41,0.036
401_19786,1103,72,0.065
401_27844,1125,93,0.083
452_16680,1335,263,0.197
452_19357,1472,218,0.148
452_26034,1149,155,0.135
499_18026,2989,291,0.097
519_18195,650,7,0.011
531_18333,1623,101,0.062
531_29813,1906,81,0.042
531_32910,1379,101,0.073
531_65127,1293,63,0.049
531_65397,1277,58,0.045
531_65764,1305,147,0.113
