text_id,total_lines,yuri_lines,yuri_concentration
60_3450,994,70,0.07
82_4714,1378,12,0.009
82_4724,1310,14,0.011
82_19479,1159,21,0.018
82_36615,1846,32,0.017
124_6298,175,42,0.24
124_19644,158,42,0.266
124_19645,11,3,0.273
143_6832,6,0,0.0
149_7019,1292,44,0.034
149_7020,1727,23,0.013
149_7021,1387,69,0.05
149_7022,1900,71,0.037
149_12765,2155,35,0.016
149_13629,1403,34,0.024
149_20210,1404,70,0.05
149_26295,1513,12,0.008
149_30340,1259,23,0.018
149_30348,1449,34,0.023
149_35193,886,40,0.045
203_8499,1476,56,0.038
203_19475,1468,46,0.031
208_8558,545,51,0.094
208_8571,965,50,0.052
208_8577,1295,89,0.069
251_9594,2475,46,0.019
251_12161,2044,34,0.017
251_12205,1266,50,0.039
251_16453,2120,76,0.036
255_9641,838,168,0.2
255_9660,1057,198,0.187
255_9668,1277,175,0.137
255_9671,1213,188,0.155
255_9675,1241,209,0.168
255_9682,1256,51,0.041
255_9687,873,156,0.179
255_9691,1281,242,0.189
255_9697,967,210,0.217
255_9698,1193,184,0.154
255_9707,1090,56,0.051
255_17548,1322,168,0.127
255_19141,1144,207,0.181
255_19142,1096,184,0.168
255_20343,1120,145,0.129
255_25495,1144,101,0.088
255_25499,1089,190,0.174
255_25950,1163,51,0.044
255_28845,1219,143,0.117
255_29646,1039,165,0.159
255_30182,1192,166,0.139
255_33415,1260,219,0.174
255_33423,1108,105,0.095
255_35187,865,121,0.14
255_37585,954,143,0.15
255_39740,1484,201,0.135
255_44280,1053,100,0.095
255_46532,1035,70,0.068
255_48951,944,151,0.16
255_50050,1073,117,0.109
255_63937,1206,107,0.089
255_63938,1128,117,0.104
255_134554,895,82,0.092
298_10595,1087,47,0.043
298_10601,1127,59,0.052
298_17775,1009,144,0.143
298_20499,1174,87,0.074
301_10869,1623,69,0.043
301_10871,946,48,0.051
301_10884,942,34,0.036
301_17145,674,23,0.034
301_18174,713,31,0.043
301_29966,751,7,0.009
343_12044,1148,43,0.037
343_17953,1067,24,0.022
343_17955,1017,83,0.082
349_12158,1067,100,0.094
391_14748,1223,139,0.114
391_14750,1188,118,0.099
401_14946,1400,134,0.096
401_19786,1528,177,0.116
401_27844,1750,266,0.152
452_16680,1730,380,0.22
452_19357,1791,370,0.207
452_26034,1590,275,0.173
499_18026,1173,145,0.124
519_18195,1158,41,0.035
531_18333,1381,49,0.035
