filename,pred_prob,yuri_norm_line,yuri_norm_actpsy,weighted,aid,vid
60_3450,0.9994429060515873,0.0969529085872576,0.0357598978288633,0.6323276059900159,60,3450
82_4714,0.0052977288263252,0.0124653739612188,0.0,0.0069182494841607,82,4714
82_4724,0.0080275381486267,0.0152354570637118,0.0,0.0093871600082895,82,4724
82_19479,0.0012638425101763,0.0249307479224376,0.0,0.008237529882837,82,19479
82_36615,0.001393491450383,0.0235457063711911,0.0,0.0078998067815871,82,36615
124_6298,0.9996767228645832,0.3324099722991689,0.4150702426564495,0.7410360496741455,124,6298
124_19644,0.9996928004411766,0.3684210526315789,0.1813537675606641,0.7284773728102459,124,19644
124_19645,0.9979978388888888,0.3781163434903047,0.4252873563218391,0.7547623420126086,124,19645
143_6832,0.0001835497173628,0.0,0.0255427841634738,0.002664408246765,143,6832
149_7019,0.0017118553315912,0.0470914127423822,0.0102171136653895,0.0161762483882083,149,7019
149_7020,0.0002957083683028,0.0180055401662049,0.0280970625798211,0.0083887933288252,149,7020
149_7021,0.0003363020297959,0.0692520775623268,0.0523627075351213,0.0262136752400877,149,7021
149_7022,0.0049277357078612,0.0512465373961218,0.0280970625798211,0.0211403089015353,149,7022
149_12765,0.0035468650823157,0.0221606648199445,0.0127713920817369,0.0100534577035464,149,12765
149_13629,0.0001841206850724,0.0332409972299168,0.0,0.0100827715800184,149,13629
149_20210,0.0049786399312362,0.0692520775623268,0.0,0.0237628072274397,149,20210
149_26295,0.0002410486201339,0.0110803324099723,0.0,0.003468728895072,149,26295
149_30340,0.0040842536273233,0.0249307479224376,0.0114942528735632,0.0110792018404815,149,30340
149_30348,0.0026243062277514,0.0318559556786703,0.0,0.0111313704402519,149,30348
149_35193,0.0025388317477055,0.0623268698060941,0.0166028097062579,0.0218816409610773,149,35193
203_8499,0.0329577586752911,0.0526315789473684,0.0153256704980842,0.0370966959391936,203,8499
203_19475,0.0015719683266309,0.0429362880886426,0.020434227330779,0.0158674901556492,203,19475
208_8558,0.9976898365353384,0.1301939058171745,0.123882503192848,0.6500603239856402,208,8558
208_8571,0.9933682069380988,0.0720221606648199,0.0319284802043422,0.6208204203827394,208,8571
208_8577,0.9980993121782236,0.095567867036011,0.0587484035759897,0.6334047877753364,208,8577
251_9594,0.0069013755556503,0.0263157894736842,0.0051085568326947,0.0125464178587649,251,9594
251_12161,0.0104016311367558,0.0235457063711911,0.0268199233716475,0.0159866829305755,251,12161
251_12205,0.0157677735964139,0.0540166204986149,0.0051085568326947,0.0261765059907022,251,12205
251_16453,0.0047062572538364,0.0498614958448753,0.0140485312899105,0.0191870562347554,251,16453
255_9641,0.8511388562265823,0.2770083102493075,0.1966794380587484,0.6134537506166164,255,9641
255_9660,0.7142048886025331,0.2590027700831024,0.074074074074074,0.513631171593858,255,9660
255_9668,0.683508207814281,0.1897506925207756,0.1928480204342273,0.486314934488224,255,9668
255_9671,0.7841436529156572,0.2146814404432133,0.0791826309067688,0.5428088869730352,255,9671
255_9675,0.7421649706135472,0.2326869806094182,0.0332056194125159,0.5184256384922054,255,9675
255_9682,0.6066417499379008,0.056786703601108,0.0114942528735632,0.3821704863304292,255,9682
255_9687,0.6865992483910387,0.2479224376731301,0.10727969348659,0.4970642496852213,255,9687
255_9691,0.6097632451137478,0.2617728531855955,0.1034482758620689,0.4547346306101342,255,9691
255_9697,0.7624983884764949,0.3005540166204986,0.2183908045977011,0.5695043185318166,255,9697
255_9698,0.8957302560867092,0.2132963988919667,0.0498084291187739,0.6064079162314929,255,9698
255_9707,0.8086859278353798,0.0706371191135734,0.0102171136653895,0.5074244038018388,255,9707
255_17548,0.4977856605509602,0.1759002770083102,0.0383141762452107,0.3552728970575902,255,17548
255_19141,0.7444571959747223,0.2506925207756232,0.1711366538952746,0.5389957392070477,255,19141
255_19142,0.756703275823435,0.2326869806094182,0.1455938697318007,0.5383874466500665,255,19142
255_20343,0.4866214840454029,0.1786703601108033,0.057471264367816,0.3513211248972643,255,20343
255_25495,0.4389235695352702,0.1218836565096952,0.0166028097062579,0.3015795196446965,255,25495
255_25499,0.6319911942960038,0.2409972299168974,0.0293742017879948,0.454431305731471,255,25499
255_25950,0.7569153080981311,0.0609418282548476,0.0459770114942528,0.4770294344847582,255,25950
255_28845,0.6301947950555346,0.1620498614958448,0.0664112388250319,0.4333729593645773,255,28845
255_29646,0.7532383336965259,0.2202216066481994,0.1813537675606641,0.5361448589684418,255,29646
255_30182,0.5891254101484231,0.1925207756232687,0.0485312899106002,0.4160846077670944,255,30182
255_33415,0.5525776390250368,0.2409972299168974,0.0804597701149425,0.4118917294015854,255,33415
255_33423,0.7097093249894358,0.131578947368421,0.0332056194125159,0.4686198411454393,255,33423
255_35187,0.3628794760570312,0.1939058171745152,0.1034482758620689,0.2862442583727801,255,35187
255_37585,0.5615389832820441,0.2077562326869806,0.1187739463601532,0.411127654411336,255,37585
255_39740,0.6826945247359195,0.1869806094182825,0.0549169859514687,0.4712025962621833,255,39740
255_44280,0.721219024069311,0.131578947368421,0.0561941251596423,0.4778245111680771,255,44280
255_46532,0.5779488313000783,0.0941828254847645,0.0242656449553001,0.3774507109210063,255,46532
255_48951,0.82041851738375,0.2216066481994459,0.0881226053639846,0.5675453654264823,255,48951
255_50050,0.5947244614565146,0.1509695290858725,0.0498084291187739,0.4071063785115478,255,50050
255_63937,0.5333390468807343,0.1232686980609418,0.0306513409961685,0.3600491716463399,255,63937
255_63938,0.6759190737256361,0.1440443213296398,0.0319284802043422,0.4519575886547078,255,63938
255_134554,0.8104552074139436,0.1274238227146814,0.0830140485312899,0.5328016761158996,255,134554
298_10595,0.1830062073954142,0.0595567867036011,0.0344827586206896,0.1311190363103978,298,10595
298_10601,0.3749087998894886,0.0720221606648199,0.0153256704980842,0.2480844951829475,298,10601
298_17775,0.4003041461600621,0.1980609418282548,0.0791826309067688,0.3075190333351906,298,17775
298_20499,0.3021149360766357,0.1024930747922437,0.0651340996168582,0.2185302940453403,298,20499
301_10869,0.0102487703875587,0.0595567867036011,0.0114942528735632,0.0251657235309718,301,10869
301_10871,0.0039236218211428,0.0706371191135734,0.0293742017879948,0.0264827290055571,301,10871
301_10884,0.0305926391475181,0.0498614958448753,0.0,0.0333140322419734,301,10884
301_17145,0.0158742150368108,0.0470914127423822,0.0,0.0236519528448011,301,17145
301_18174,0.0129523470324032,0.0595567867036011,0.0,0.0256384442305222,301,18174
301_29966,0.0036119491520889,0.0124653739612188,0.0,0.0059067816796189,301,29966
343_12044,0.0257577049442483,0.0512465373961218,0.0102171136653895,0.0318502955519244,343,12044
343_17953,0.0555653884652203,0.0304709141274238,0.0,0.0424805073173593,343,17953
343_17955,0.0244941426868617,0.113573407202216,0.0,0.0487685077727818,343,17955
349_12158,0.9946706086022729,0.1301939058171745,0.123882503192848,0.6482487872258008,349,12158
391_14748,0.9993718623489012,0.1578947368421052,0.0702426564495529,0.6540158041069275,391,14748
391_14750,0.99494643771,0.1371191135734072,0.0932311621966794,0.6474267129176902,391,14750
401_14946,0.0088018408687725,0.1329639889196676,0.0459770114942528,0.049768002346589,401,14946
401_19786,0.0028109676352464,0.1606648199445983,0.0830140485312899,0.0581874314176563,401,19786
401_27844,0.0255576944216572,0.2105263157894736,0.1060025542784163,0.089092766817678,401,27844
452_16680,0.9969637394157302,0.3047091412742382,0.2515964240102171,0.7147506284327314,452,16680
452_19357,0.9970455588178024,0.2867036011080332,0.1890166028097062,0.703140075904062,452,19357
452_26034,0.9982470821290323,0.2396121883656509,0.1724137931034483,0.6880732850974596,452,26034
499_18026,0.9972966151955494,0.1717451523545706,0.123882503192848,0.6622897651429855,499,18026
519_18195,0.0001847013215562,0.0484764542936288,0.0140485312899105,0.0160586102100134,519,18195
531_18333,0.0762590889734423,0.0484764542936288,0.0791826309067688,0.0682166527628309,531,18333
531_29813,0.0600793264343113,0.0734072022160664,0.053639846743295,0.0634337411997362,531,29813
531_32910,0.131600317779652,0.1468144044321329,0.0932311621966794,0.132327628217099,531,32910
531_65127,0.0522887467481658,0.056786703601108,0.0625798212005108,0.0546672412492829,531,65127
531_65397,0.5044395893750179,0.0914127423822714,0.057471264367816,0.3358347027764737,531,65397
531_65764,0.3069438947160141,0.1260387811634349,0.144316730523627,0.2364096442310016,531,65764
531_66734,0.475199281285694,0.0817174515235457,0.037037037037037,0.3133385079321837,531,66734
531_66888,0.2640925356981594,0.0637119113573407,0.0459770114942528,0.1821667959755231,531,66888
577_18765,0.0039341557098816,0.0678670360110803,0.0383141762452107,0.0265520218537741,577,18765
577_23778,0.0001836622069358,0.1745152354570637,0.1123882503192847,0.063703592993209,577,23778
583_18786,0.986796060461301,0.1717451523545706,0.1008939974457215,0.6536905817277239,583,18786
595_18889,0.0126856953600619,0.0941828254847645,0.0,0.0358662648614664,595,18889
595_18891,0.0003942794285549,0.0304709141274238,0.0063856960408684,0.0100164114994469,595,18891
643_19288,0.0094713790092163,0.167590027700831,0.0664112388250319,0.0626009595982822,643,19288
655_19379,0.9996752431786544,0.2091412742382271,0.1481481481481481,0.6773623429934755,655,19379
655_19381,0.9994656387931034,0.2354570637119113,0.1992337164750957,0.690239874036945,655,19381
657_19396,0.995894616385906,0.077562326869806,0.0076628352490421,0.6215717514173896,657,19396
667_19434,0.9994454525878004,0.2590027700831024,0.2017879948914431,0.6975469020667553,667,19434
677_19543,0.9959851846736244,0.1911357340720221,0.1570881226053639,0.6706406432863177,677,19543
677_43406,0.9954708110718882,0.1925207756232687,0.1021711366538952,0.665255832995503,677,43406
806_21516,0.999677490709838,0.1606648199445983,0.0664112388250319,0.6546470642917854,806,21516
894_24103,0.9972091399194632,0.1371191135734072,0.1060025542784163,0.6500614734515417,894,24103
915_25331,0.9983676001876712,0.1218836565096952,0.0893997445721583,0.6445256315227271,915,25331
929_26654,0.999443237254902,0.2174515235457063,0.3397190293742018,0.6988733023540733,929,26654
952_27674,0.004426986929257,0.1426592797783933,0.0076628352490421,0.0462202596159763,952,27674
952_27685,0.0040529688121414,0.0914127423822714,0.0063856960408684,0.0304941736060531,952,27685
972_28272,0.0016127065777428,0.0221606648199445,0.0025542784163473,0.0078712512342637,972,28272
1020_29857,0.9994369981132076,0.5124653739612188,0.5900383141762452,0.8124056424739148,1020,29857
1021_29936,0.0130309968022191,0.1454293628808864,0.1111111111111111,0.0625585180567084,1021,29936
1091_32943,0.0001823309284,0.0540166204986149,0.0242656449553001,0.0187409492021544,1091,32943
1091_34133,0.0001822468751449,0.1149584487534626,0.0549169859514687,0.0400885813462725,1091,34133
1091_35467,0.0029420528399142,0.0831024930747922,0.0472541507024265,0.0314213946966288,1091,35467
1091_40035,0.0004841057829649,0.0498614958448753,0.0268199233716475,0.0179309045604062,1091,40035
1115_33933,0.9980662297741936,0.1509695290858725,0.1060025542784163,0.6547308520181195,1115,33933
1115_33942,0.9896440662810748,0.2257617728531856,0.1494252873563218,0.6764575003602327,1115,33942
1156_35334,0.0436843412735016,0.0526315789473684,0.037037037037037,0.0457037821520151,1156,35334
1215_37600,0.8634995152585957,0.1191135734072022,0.0766283524904214,0.5614966164263601,1215,37600
1215_45500,0.7591860344270664,0.1371191135734072,0.0153256704980842,0.4981799217780704,1215,45500
1215_50634,0.6970619544800604,0.0831024930747922,0.0523627075351213,0.448404191363986,1215,50634
1215_53513,0.4211818924099644,0.0526315789473684,0.003831417624521,0.2688817508926412,1215,53513
1215_59762,0.5203017053339124,0.095567867036011,0.0702426564495529,0.347875648956106,1215,59762
1215_69536,0.6916657172842046,0.1772853185595568,0.0983397190293741,0.4780189978413271,1215,69536
1215_112296,0.7309850575833879,0.0983379501385041,0.0306513409961685,0.4711575536912008,1215,112296
1255_39335,0.0076406269682101,0.0443213296398891,0.0229885057471264,0.0201796256476054,1255,39335
1255_51028,0.0040434991917564,0.0706371191135734,0.0229885057471264,0.0259160858238385,1255,51028
1414_46255,0.998314415939394,0.0637119113573407,0.0332056194125159,0.6214227849120902,1414,46255
1414_71258,0.9983197485981524,0.0360110803324099,0.0051085568326947,0.6103060289418839,1414,71258
1414_72715,0.9977096529312424,0.056786703601108,0.0,0.6156618028390778,1414,72715
1414_104755,0.9961847564847204,0.0166204986149584,0.003831417624521,0.6030801452377719,1414,104755
1414_104765,0.9975038096162164,0.0235457063711911,0.0268199233716475,0.6082479900182519,1414,104765
1414_108915,0.9996992757692308,0.077562326869806,0.0932311621966794,0.6324113797421482,1414,108915
1414_108917,0.998845810700236,0.0526315789473684,0.0191570881226053,0.6170126689166127,1414,108917
1414_119795,0.9984639910470446,0.1038781163434903,0.0178799489144316,0.632029824422717,1414,119795
1414_122209,0.997869073759912,0.1149584487534626,0.057471264367816,0.6389561053187676,1414,122209
1414_122955,0.9991971245484222,0.0692520775623268,0.0357598978288633,0.6238698877806377,1414,122955
1414_123397,0.9970340864367268,0.0554016620498614,0.020434227330779,0.6168843732100723,1414,123397
1577_52891,0.0001842161731382,0.1163434903047091,0.037037037037037,0.0387172804989993,1577,52891
1577_62172,0.0001844054342326,0.1066481994459833,0.0421455938697317,0.0363196624813077,1577,62172
1577_78877,0.0080750040479186,0.1260387811634349,0.0459770114942528,0.0472543379272069,1577,78877
1601_54275,0.0071706256879971,0.0720221606648199,0.0166028097062579,0.02756930458287,1601,54275
1609_54583,0.0155342431900843,0.0623268698060941,0.0191570881226053,0.0299343156681393,1609,54583
1609_61847,0.0003445359085012,0.0540166204986149,0.0638569604086845,0.0227974037355536,1609,61847
