aid,vid,sample,label
1020,29857," ★☆★☆★☆轻小说文库(Www.WenKu8.com)☆★☆★☆★ 

  第一卷 序章 一个人在月之海  
     网译版 转自 轻之国度 

 

    翻译：minami 

 

    如果，把你绑架到了月球，那我—— 

 

    1 

 

    我是全世界最可爱的人。 

 

    从懂事开始，我对于自己的容姿胜于他人一事，就已经有了自觉，至于机关算尽让自己的言行在他人眼中如何显眼，我也胸有成竹。 

 

    在当时所上的闪光幼儿园里，我是超级人气者。只要表现得稍微亲切一点，老师和其他家长就会表扬道“藤林家的美由纪真是可爱又乖巧”。同在spica班的小朋友们每天也总是争相吵着“美由跟我一起玩！”、“不，要跟我一起玩！” 

 

    对这些应该去喜欢却又笨笨的朋友们，我像花一样轻轻微笑着说： 

 

    “吶，大家相亲相爱一起玩吧。” 

 

    我那温柔的语言，在spica班拥有绝对的控制力。大家都乖乖地服从，以我为中心形成一个圆，一起唱歌，一起游戏。 

 

    当时的我如果知道“恍惚”这个词的话，大概一定会毫不犹豫地把那个时候自己所感受到的东西冠上这个名字。——这就是陶醉啊！ 

 

    我的人生正处于高峰期。每天都很充实。 

 

    虽然总是把经营蔬果店的家里属于自己的那个空间搞得乱糟糟（没有自己的房间什么的），导致每天都被父母责骂。 

 

    “啊！矢岛…理世。” 

 

    理世转学来是在升到中班，十月的时候。 

 

    第一次有转学生，小朋友们一片焦躁不安，spica班教室里的空气变得与平日不同。表面上我落落大方地对新成员表示欢迎，内心里则高度注意地观察着她。和她一起来的还有美貌到简直不能认为跟我爸妈是同一生物的母亲（后来才知道，是一位曾经有相当知名度的女演员）。",
1021,29936," ★☆★☆★☆轻小说文库(Www.WenKu8.com)☆★☆★☆★ 

  第一卷 彩图  
     网译版 翻译 无尽的旅行者、Triple-K@轻之国度 

 

    4、 

 

    大侦探时代—— 

 

    持有不可思议的能力TOYS的「怪盗」与「侦探」喧嚣于世的时代 

 

    目指未来的名侦探的4位少女结成的侦探小队 

 

    ——milky homes 

 

    5、 

 

    「去解开谜团吧！」 

 

    夏洛 

 

    夏洛克·雪莉福特 

 

    持有让物体漂浮的“念动力”的TOYS的女孩。开朗活泼、是活跃milky homes气氛的存在。容易惊慌失措是其少有的缺点。 

 

    （捏他出处：夏洛克福尔摩斯+柯南道尔在给福尔摩斯起名之前用的假名Shellinford） 

 

    6、 

 

    「……不要！」 

 

    艾莉 

 

    赫尔克林·伯顿 

 

    与其端庄稳重的性格相反，持有能使出强大力量的「怪力」的TOYS。只是，由于容易害羞并非常认生，并不想让别人看到自己使用能力。 

 

    （捏他出处：Phyllis Dorothy James的「An Unsuitable Job for a Woman」「The Skull Beneath the Skin」中登场的22岁女侦探Cordelia Gray） 

 

    7、 

 

    「嘛、反正也感觉挺有趣的」 

 

    妮洛 

 

    让崎 妮洛 

 

    使用生物电直接操纵电子器械的「电子机器操作」的能力者。对动物们的心情变化也很敏感，也有因感情代入过度而暴走的时候…… 

 

    （捏他出处：美国作家Rex Stout系列",
1091,32943," ★☆★☆★☆轻小说文库(Www.WenKu8.com)☆★☆★☆★ 

  第一卷 人物介绍  
     台版 转自 绚辻词、℡(零の忆希 _@SOSG 论坛 

 

    501st JOINT FIGHTER WING 

 

    ""STRIKE WITCHES"" 

 

    MUSTER ROLL 

 

    宫藤芳佳 

 

    YOSHIKA MIYAFUJI 

 

    隶　　属：扶桑皇国 

 

    海军遣欧舰队第24航空战队288航空队 

 

    阶　　级：中士 

 

    身　　高：150cm 

 

    生　　日：8月18日 

 

    年　　龄：14岁 

 

    使用机体：A6M3a 

 

    使用武器：99式2号2型改13mm几枪 

 

    M712修涅弗毛瑟手枪 

 

    坂本美绪 

 

    MIO SAKAMOTO 

 

    隶　　属：扶桑皇国 

 

    海军遣欧舰队第24航空战队288航空队 

 

    阶　　级：少校 

 

    身　　高：165cm 

 

    生　　日：8月26日 

 

    年　　龄：19岁 

 

    使用机体：A6M3a 

 

    使用武器：99式2号2型改13mm几枪 

 

    日本刀 

 

    米娜·迪特琳德·威尔克 

 

    MINNA-DIETLINDE WILCKE 

 

    隶　　属：卡尔斯兰 

 

    空军JG3航空团司令 

 

    阶　　级：中校 

 

    身　　高：165cm 

 

    生　　日：3月11日 

 

    年　　龄：18岁 

 

    使用机体：Bf",
1091,34133," ★☆★☆★☆轻小说文库(Www.WenKu8.com)☆★☆★☆★ 

  第二卷 序章  
     台版 转自 绚辻词、℡(零の忆希_、深珀の瞳@SOSG论坛 

 

    １９３９年。 

 

    那个东西在毫无前兆的状况下，出现在我们人类的眼前。 

 

    我们称它涅洛伊。 

 

    没有任何人知道涅洛伊从何而来，又有什么目的，唯一可以确定的是在它们的攻击之下，人们被迫逃离土生土长的城镇以及国家。 

 

    决定对涅洛伊展开彻底抗战的人类，开发对涅洛伊专用的新兵器。 

 

    战斗脚。 

 

    可以强化对抗涅洛伊的魔力，还能藉由魔力飞行，可说是新的魔法扫把。 

 

    拥有强大力量的魔女装备战斗脚，为了作战而从世界各国集结。 

 

    对涅洛伊专用编制的菁英部队，联合军第５０１统合战斗航空团。 

 

    人们称她们为强袭魔女！   

  第二卷 第一章 好快·好大·好软——又称仲夏夜的怪谈  
     「叮、叮叮～～！」 

 

    咚咯啦咚磅，哗锵～～！ 

 

    「喵呀啊啊啊啊啊啊啊啊啊啊！」 

 

    这里是第５０１统合战斗航空团的机库。 

 

    某个平静夏天的黄昏时刻，这个时间应该没人在里面，但是不知为何传来一阵倒塌的声音，还有某人有如野猫的犀利怪叫声。 

 

    接着—— 

 

    「哎呀呀……这、这、怎么办！咦，这个零件该装哪里？这里？到底是哪边啊……？」 

 

    可以听到少女的声音。 

 

    这时刚好几名整备兵经过机库附近，听到这阵诡异的声音。 

 

    「……叶、叶格上尉等人呢？」 

 

    「应该早就和宫藤中士一起出去了吧？」 

 

    「有看到是谁进去了吗？」 

 

  ",
1091,35467," ★☆★☆★☆轻小说文库(Www.WenKu8.com)☆★☆★☆★ 

  第三卷 序章  
     台版 转自 千木咲音@SOSG论坛 

 

    1939年。 

 

    那个东西在毫无前兆的状况下，出现在我们人类的眼前。 

 

    我们称它涅洛伊。 

 

    没有任何人知道涅洛伊从何而来，又有什么目的，唯一可以确定的是在它们的攻击之下，人们被迫逃离土生土长的城镇以及国家。 

 

    决定对涅洛伊展开彻底抗战的人类，开发对涅洛伊专用的新兵器。 

 

    战斗脚。 

 

    可以强化对抗涅洛伊的魔力，还能借由魔力飞行，可说是新的魔法扫把。 

 

    拥有强大力量的魔女装备战斗脚，为了作战而从世界各国集结。 

 

    对涅洛伊专用编制的菁英部队，联合军第501统合战斗航空团。 

 

    人们称她们为强袭魔女！   

  第三卷 插曲 小美的不可能任务  
     新学期刚开始没几天的横须贺第四女子中学（前横须贺第二高等小学）。 

 

    「因此，纪贯之在这首歌里隐含的想法……」 

 

    二年级的教室里正在上着无聊的国文课。 

 

    绰号小美的山川美千子坐在光线良好的窗边，不过老师的声音完全传不进她的耳里。 

 

    桌子底下，白皙有弹性的大腿上放着一张信纸，她的眼睛与心全都在这张信纸上。 

 

    「芳佳……」 

 

    小美已经反复看过这封信上百次。 

 

    这是来自最重要的朋友—— 

 

    目前身在遥远的不列颠尼亚，宫藤芳佳寄来的信。 

 

    敬启 

 

    小美，最近好吗？ 

 

    不久前，我以魔女的身分正式隶属于第501统合战斗航空团，成为强袭魔女的一员。 

 

    队长是米娜",
1091,40035," ★☆★☆★☆轻小说文库(Www.WenKu8.com)☆★☆★☆★ 

  剧场版 重返渴望的天空 序章 异型  
     网译版 翻译 wuling@轻之国度 

 

    云层沉重，强风呼啸，波涛翻动。 

 

    在这次预想之内的恶劣天气之中，人类决定向支配着欧洲的异型军进行一次大规模的反击作战行动。 

 

    舞台在已经是一片荒凉的高卢诺曼底海岸（译注：高卢即法国）。 

 

    数之不尽的舰队布满翻滚起伏的无尽漆黑之海，无数飞机以及身穿强袭飞行脚的少女们则遮盖了整个没有月色的天空。 

 

    驱逐舰的炮口一起喷着火舌，手拿步枪的士兵们纷纷从登陆用的船只上飞身而下，踏碎波浪直奔海岸。 

 

    紧接着，反坦克炮以及坦克也纷纷被安置着陆。 

 

    最先抢上沙滩的一个士兵，找到一个视野开阔之处，举起望远镜望向内陆。 

 

    望远镜中出现的是无数在往这边接近中的异型的身姿。 

 

    那些酷似坦克形态的异型丝毫没有顾忌炮火攻击，不断地放着BEAM（译注：SW世界中异型军的攻击手段之一，粒子流，具体不明，反正脑补成高达的光线炮就没错了），屠杀着人类的士兵。 

 

    另一边，从浓厚的云层掩护中的输送机上，无数降落伞如花瓣一样从空中飘落，空降部队也开始着陆。 

 

    但是，就靠这些的话人类并不能打败异型，重新踏上欧洲的土地。 

 

    空投部队的降落伞很多被异型的BEAM所撕裂，纷纷跌落在地。这些士兵有的因为降下时机的失误而跌入漆黑的大海，还有的则掉落在异型弄出来的沼泽地中，挣扎着走向死亡。 

 

    “我，我该怎么办啊” 

 

    降落伞挂在村里的钟楼之上，整个人悬在半空之中的一名二等兵自言自语道。这可是他第一次走上战场。 

 

    在这种状态下他是不能",
1115,33933," ★☆★☆★☆轻小说文库(Www.WenKu8.com)☆★☆★☆★ 

  上卷 登场人物  
     网译版 翻译 小残@轻之国度 

 

    晓美焰 

 

    转学到小圆所上的初中的少女。 

 

    容貌端庄，成绩优秀，运动万能。性格冷淡。 

 

    好像是魔法少女，言行神秘。 

 

    丘比 

 

    可以为少女现实任何一个愿望的魔法使者。 

 

    鹿目圆 

 

    无比平凡的初中二年级学生。 

 

    有着为朋友着想的温柔性格。 

 

    是个对自己稍微有点没自信的女孩子。 

 

    巴麻美 

 

    小圆她们所上的初中的三年级学生。 

 

    是个照顾着她们的好姐姐。 

 

    还是和丘比契约了的现役魔法少女。 

 

    美树沙耶加 

 

    小圆的同班同学。性格活泼，总是很精神，与小圆非常要好。 

 

    佐仓杏子 

 

    盯上了麻美的地盘，从别的城市过来的魔法少女。 

 

    总是在吃着东西。 

 

    是个不顾及周围受害者的利己主义者。   

  上卷 第一章 好像在梦里见过……  
     我有真正的朋友吗？ 

 

    刚升入初中的时候，我时常会去想这样的问题—— 

 

    放学后一起去购物中心的人就是朋友吗？一起准备考试，一起谈论同学的八卦，一起分享喜欢哪个男孩子的秘密的人就是朋友吗？想了很多还是觉得不对，最后也不能做个定论。这大概是因为，我还不知道要互相了解到什么程度才能称为朋友吧。所以到头来，我到底有没有可以称为真正的朋友的人呢，心里还是没底。 

 

    但是我想，要是我真把这话说出来了，沙耶加酱肯定会生气的说“什么？这也太见外的了吧？你是想闹哪样？”而仁美酱",
1115,33942," ★☆★☆★☆轻小说文库(Www.WenKu8.com)☆★☆★☆★ 

  下卷 第七章 你能面对自己真实的心情吗？  
     ——小圆，你要成为有所作为的人哦。 

 

    每当我气馁沮丧的时候，妈妈总是这么对我说—— 

 

    就算是我，只要经过不懈努力，也能实现许许多多的梦想吧——我虽然这么想着。 

 

    可是，梦想之所以被称为梦想，正是因为它不易实现…… 

 

    我大概也会带着没有实现的梦想就草草结束掉一生吧…… 

 

    为了实现梦想有时必须做出牺牲，这个我也是知道的——可是，决定去实现它之前就应该知道自己要做出什么样牺牲。回头才发现作为梦想的代价有什么东西被夺走了——这种事情太过分了我不能接受。 

 

    “你们总是这样。” 

 

    闪亮着红眼睛的丘比说道。 

 

    “把事实原原本本的告诉你们，就一定是这样的反应。真是莫名其妙，为什么人类就是对灵魂的存在方式这么的执着呢？” 

 

    丘比一副满不在乎的样子淡淡说出的这些话，一字一句都像针尖一样刺向我的胸口。简直就像是年长的大人对含泪欲哭的小孩子说的话。 

 

    沙耶加酱的身体在我怀里渐渐变冷，越来越沉—— 

 

    我却只是泪流不止。 

 

    “好过分……这种事情，太过分了啊……” 

 

    在不可抑止的悲伤面前，我只能说出这样小孩子哭闹般的话。 

 

    不想让沙耶加酱再受伤害。 

 

    不想让沙耶加酱继续难过。 

 

    我只是希望这样而已——所以才把沙耶加酱的灵魂宝石扔向了夜幕中的高速公路。我却把沙耶加酱的命给扔掉了。 

 

    “……沙耶加酱……对不起……对不起……” 

 

    我抱着沙耶加酱的脑袋，把鼻子埋到她的头发里哭喊时。 

 

  ",
1156,35334," ★☆★☆★☆轻小说文库(Www.WenKu8.com)☆★☆★☆★ 

  第一卷 春天是个忙碌的季节  
     台版 转自 zbszsr@轻之国度 

 

    对我而言，那只是再平常不过的生活剪影。 

 

    没有任何特别的事发生，「熟悉」的场景一再重演。 

 

    乏善可陈的每一天。但也因为如此，每一天才能过得如此充实。 

 

    那就是专属于我的故事——没错，直到那时候为止…… 

 

    －－－－－－－－－－－ 

 

    四月二○日　　多云 

 

    旧校舍是栋落成即将超过六十年的二层木造建筑。裁缝社就位在一楼的里侧。 

 

    放学后，上乃原女子高中裁缝社的新社员茜夕，独自一人站在上了锁的社办前发呆，边等着其他的社员到来。 

 

    「咦？小夕，你来得好早喔。」 

 

    担任裁缝社社长的浅葱法子拉开嗓门边喊边走了过来。 

 

    「啊，社长！您辛苦啰！」 

 

    「又只有你一个人先到吗？」 

 

    「是的，看起来好像只有我一个！」 

 

    法子打开上锁的门，走进社办里面。小夕也跟着走了进去。 

 

    「最近如何？已经习惯学校了吗？」 

 

    「嗯……该怎么说呢？我大概已经可以掌握学校里面有哪些设施了。可是要移动到不同教室时，班上同学还是会一阵兵荒马乱耶！」 

 

    「那是一定的啊——像我虽然已经在这间学校待一年多了，但到现在还是会在上学途中迷路哩——嘻嘻嘻！」 

 

    「这种事一点都不好笑。」 

 

    「真不捧场耶——我可是在讲笑话喔？」 

 

    「……」 

 

    「小夕，你干嘛一句话都不说，而且还把视线移开？」 

 

    社办里顿时被沉默所填满。再也无法承受这股沉默",
1215,112296," ★☆★☆★☆轻小说文库(Www.WenKu8.com)☆★☆★☆★ 

  第七卷 S1 第一章  
     网译版 转自 轻之国度 

 

    翻译：ashmay 

 

    不知是幸运还是不幸，我从未被谁背叛过。 

 

    或许您会觉得，这怎么想都不是幸运，根本不可能是不幸。不过我前不久在阅读骗术相关的书时，遇到这么一段讲述。 

 

    『骗徒所做的事情，其本质并不是欺骗他人。而是去获得他人的信赖。』 

 

    『为了赢得信赖进行事先准备，进行投资，完成表演。在某个阶段前，他们像这样付出的努力很多时候与正经工作时付出的努力无异。』 

 

    『将欺骗与否区分开的，只有最后选择背叛还是不背叛而已。』 

 

    原来如此，我深有同感，因此不经意间就对桐香说了上述话题。 

 

    「为什么你会读那种书！」 

 

    我被骂了。圣桥桐香身体娇小到S码的校服外套都穿着松松垮垮的，但她的语气和眼神却十分锋利。 

 

    「难道你想参考一下，用在新型骗术上吗。」 

 

    「别说的这么难听嘛。我只是有点兴趣，读着看看而已。」 

 

    「真是可疑。还说什么只要最后不背叛就不是欺骗，总觉得像是将事情正当化而找的借口一样。」 

 

    「不背叛的话确实算不上欺骗吧。比如说假结婚，只要是真的结婚了就不算欺骗了。」 

 

    「你连假结婚都干过吗！」 

 

    「都说是举例啦！听我说话啊！」 

 

    我周围的人（尤其是女性）全是些根本不听我说话的家伙，当我正拼命向桐香解释的时候，另一个人从背后的门外扑了进来。 

 

    「日影学弟，你刚刚说你结婚了！？」 

 

    我还以为狭窄又昏暗的会计室突然被光芒照亮了。明亮的淡金色头发与琥珀色的眼睛，这位从头",
